번호,공사종류,공종명,세부공정명
1,아파트,기초파일작업,기초파일 자재·장비반입
2,아파트,기초파일작업,기초파일 천공
3,아파트,기초파일작업,기초 파일항타
4,아파트,기초파일작업,기초파일 두부정리
5,아파트,굴착작업,굴착 장비반입
6,아파트,굴착작업,굴착
7,아파트,굴착작업,굴착 토사반출
8,아파트,발파작업,발파 천공
9,아파트,발파작업,발파 장약
10,아파트,발파작업,발파
11,아파트,발파작업,발파 암처리
12,아파트,발파작업,발파 화약고 관리
13,아파트,흙막이지보공작업,흙막이지보공 자재반입
14,아파트,흙막이지보공작업,흙막이지보공 설치
15,아파트,흙막이지보공작업,흙막이지보공 해체
16,아파트,흙막이지보공작업,흙막이지보공 자재반출
17,아파트,되메움작업,토사반입 및 되메움 실시
18,아파트,되메움작업,되메움 토사 다짐
19,아파트,거푸집작업,거푸집 자재반입
20,아파트,거푸집작업,거푸집 동바리 조립
21,아파트,거푸집작업,거푸집 동바리 해체
22,아파트,거푸집작업,거푸집 동바리 인양
23,아파트,갱폼작업,갱폼 자재반입
24,아파트,갱폼작업,갱폼 조립
25,아파트,갱폼작업,갱폼 인양 설치
26,아파트,갱폼작업,갱폼 해체 반출
27,아파트,철근작업,철근반입
28,아파트,철근작업,철근가공 및 운반
29,아파트,철근작업,철근조립
30,아파트,콘크리트작업,콘크리트 반입
31,아파트,콘크리트작업,콘크리트타설
32,아파트,콘크리트작업,콘크리트양생
33,아파트,철골작업,철골 부재반입
34,아파트,철골작업,철골 인양
35,아파트,철골작업,철골 Deck Plate 설치
36,아파트,조적,미장 및 견출작업
37,아파트,조적,미장 및 견출작업
38,아파트,조적,미장 및 견출작업
39,아파트,방수작업,방수 면처리
40,아파트,석재 및 타일작업,석재 및 타일 자재반입
41,아파트,석재 및 타일작업,석재 및 타일 붙임
42,아파트,석재 및 타일작업,석재 및 타일 줄눈
43,아파트,도장작업,도장 면처리
44,아파트,도장작업,실내도장
45,아파트,도장작업,실외도장
46,아파트,금속 및 잡철물작업,금속 및 잡철물 자재반입
47,아파트,금속 및 잡철물작업,금속 및 잡철물 시공
48,아파트,창호 및 유리작업,창호 및 유리 자재반입
49,아파트,창호 및 유리작업,창호 및 유리 설치
50,아파트,수장작업,수장 자재반입
51,아파트,수장작업,수장시공(석고보드
52,아파트,전기설비작업,전기설비 자재반입
53,아파트,전기설비작업,전기설비 배선
54,아파트,전기설비작업,전기설비 설치
55,아파트,전기설비작업,전기 특고압선로
56,아파트,기계설비작업,기계설비 자재반입
57,아파트,기계설비작업,기계설비 설치
58,아파트,엘리베이터 설치작업,엘리베이터 기계설치
59,아파트,엘리베이터 설치작업,엘리베이터 승강구 조립
60,아파트,엘리베이터 설치작업,엘리베이터 가이드레일 설치
61,아파트,맨홀 및 관부설작업,맨홀 및 관부설 굴착
62,아파트,맨홀 및 관부설작업,맨홀 및 관부설
63,아파트,조경작업,조경부지정리
64,아파트,조경작업,조경시공 및 설치
65,아파트,부대토목작업,부대토목 옹벽시공
66,아파트,부대토목작업,부대토목 구내포장
67,아파트,가설도로작업,가설도로 벌목 및 표토제거
68,아파트,가설도로작업,가설도로 시공
69,아파트,지장물조사 및 이설작업,지장물 조사 굴착
70,아파트,지장물조사 및 이설작업,지장물 보호
71,아파트,지장물조사 및 이설작업,지장물 이설
72,아파트,지장물조사 및 이설작업,지장물 되메움
73,아파트,그라우팅작업,그라우팅 장비 및 자재반입
74,아파트,그라우팅작업,그라우팅 천공 및 시공
75,아파트,작업환경,작업환경 (조명)
76,아파트,작업환경,작업환경 (환기)
77,아파트,작업환경,작업환경 (분진)
78,아파트,작업환경,작업환경 (배수)
79,아파트,안전가시설작업,개구부
80,아파트,안전가시설작업,작업발판
81,아파트,안전가시설작업,비계
82,아파트,안전가시설작업,이동식 비계
83,아파트,안전가시설작업,달비계
84,아파트,안전가시설작업,달대비계
85,아파트,안전가시설작업,추락방지망
86,아파트,안전가시설작업,가설 경사로
87,아파트,안전가시설작업,가설통로 또는 가설계단
88,아파트,안전가시설작업,굴착선단부
89,아파트,안전가시설작업,이동식 사다리
90,아파트,안전가시설작업,철골 승강용트랩
91,아파트,안전가시설작업,경사지붕
92,아파트,안전가시설작업,리프트승강부 출입문
93,아파트,안전가시설작업,낙하물 방지망
94,아파트,안전가시설작업,방호선반
95,아파트,가설전기작업,수배전설비
96,아파트,가설전기작업,분전반
97,아파트,가설전기작업,전선
98,아파트,가설전기작업,충전부
99,아파트,가설전기작업,조명등
100,아파트,가설전기작업,교류아크 용접기
101,아파트,가설전기작업,이동석전기 기계기구
102,아파트,가설전기작업,접지
103,아파트,양중기작업,타워크레인
104,아파트,양중기작업,리프트
105,아파트,양중기작업,이동식 크레인
106,아파트,양중기작업,곤도라
107,아파트,양중기작업,윈치
108,아파트,양중기작업,특수 작업대
109,아파트,위험기계기구작업,목재가공용 둥급톱
110,아파트,위험기계기구작업,연삭기
111,아파트,위험기계기구작업,공기 압축기
112,아파트,위험기계기구작업,이동식 발전기
113,아파트,위험기계기구작업,철근절단기 및 절곡기
114,아파트,위험기계기구작업,그라우팅 장비
115,아파트,위험기계기구작업,몰탈 믹서기
116,아파트,위험기계기구작업,열풍기
117,빌딩,기초파일작업,기초파일 자재·장비반입
118,빌딩,기초파일작업,기초파일 천공
119,빌딩,기초파일작업,기초 파일항타
120,빌딩,기초파일작업,기초파일 두부정리
121,빌딩,굴착작업,굴착 장비반입
122,빌딩,굴착작업,굴착
123,빌딩,굴착작업,굴착 토사반출
124,빌딩,발파작업,발파 천공
125,빌딩,발파작업,발파 장약
126,빌딩,발파작업,발파
127,빌딩,발파작업,발파 암처리
128,빌딩,발파작업,발파 화약고 관리
129,빌딩,흙막이지보공작업,흙막이지보공 자재반입
130,빌딩,흙막이지보공작업,흙막이지보공 설치
131,빌딩,흙막이지보공작업,흙막이지보공 해체
132,빌딩,흙막이지보공작업,흙막이지보공 자재반출
133,빌딩,되메움작업,토사반입 및 되메움 실시
134,빌딩,되메움작업,되메움 토사 다짐
135,빌딩,거푸집작업,거푸집 자재반입
136,빌딩,거푸집작업,거푸집 동바리 조립
137,빌딩,거푸집작업,거푸집 동바리 해체
138,빌딩,거푸집작업,거푸집 동바리 인양
139,빌딩,철근작업,철근반입
140,빌딩,철근작업,철근가공 및 운반
141,빌딩,철근작업,철근조립
142,빌딩,콘크리트작업,콘크리트 반입
143,빌딩,콘크리트작업,콘크리트타설
144,빌딩,콘크리트작업,콘크리트양생
145,빌딩,철골작업,철골 부재반입
146,빌딩,철골작업,철골 인양
147,빌딩,철골작업,철골 Deck Plate 설치
148,빌딩,조적,미장 및 견출작업
149,빌딩,조적,미장 및 견출작업
150,빌딩,조적,미장 및 견출작업
151,빌딩,방수작업,방수 면처리
152,빌딩,석재 및 타일작업,석재 및 타일 자재반입
153,빌딩,석재 및 타일작업,석재 및 타일 붙임
154,빌딩,석재 및 타일작업,석재 및 타일 줄눈
155,빌딩,도장작업,도장 면처리
156,빌딩,도장작업,실내도장
157,빌딩,도장작업,실외도장
158,빌딩,금속 및 잡철물작업,금속 및 잡철물 자재반입
159,빌딩,금속 및 잡철물작업,금속 및 잡철물 시공
160,빌딩,창호 및 유리작업,창호 및 유리 자재반입
161,빌딩,창호 및 유리작업,창호 및 유리 설치
162,빌딩,수장작업,수장 자재반입
163,빌딩,수장작업,수장시공(석고보드
164,빌딩,판넬 등 외부마감작업,판넬 등 외부마감 자재반입
165,빌딩,판넬 등 외부마감작업,판넬 등 외부마감 시공
166,빌딩,전기설비작업,전기설비 자재반입
167,빌딩,전기설비작업,전기설비 배선
168,빌딩,전기설비작업,전기설비 설치
169,빌딩,전기설비작업,전기 특고압선로
170,빌딩,기계설비작업,기계설비 자재반입
171,빌딩,기계설비작업,기계설비 설치
172,빌딩,엘리베이터 설치작업,엘리베이터 기계설치
173,빌딩,엘리베이터 설치작업,엘리베이터 승강구 조립
174,빌딩,엘리베이터 설치작업,엘리베이터 가이드레일 설치
175,빌딩,맨홀 및 관부설작업,맨홀 및 관부설 굴착
176,빌딩,맨홀 및 관부설작업,맨홀 및 관부설
177,빌딩,조경작업,조경부지정리
178,빌딩,조경작업,조경시공 및 설치
179,빌딩,부대토목작업,부대토목 옹벽시공
180,빌딩,부대토목작업,부대토목 구내포장
181,빌딩,지장물조사 및 이설작업,지장물 조사 굴착
182,빌딩,지장물조사 및 이설작업,지장물 보호
183,빌딩,지장물조사 및 이설작업,지장물 이설
184,빌딩,지장물조사 및 이설작업,지장물 되메움
185,빌딩,그라우팅작업,그라우팅 장비 및 자재반입
186,빌딩,그라우팅작업,그라우팅 천공 및 시공
187,빌딩,작업환경,작업환경 (조명)
188,빌딩,작업환경,작업환경 (환기)
189,빌딩,작업환경,작업환경 (분진)
190,빌딩,작업환경,작업환경 (배수)
191,빌딩,안전가시설작업,개구부
192,빌딩,안전가시설작업,작업발판
193,빌딩,안전가시설작업,비계
194,빌딩,안전가시설작업,이동식 비계
195,빌딩,안전가시설작업,달비계
196,빌딩,안전가시설작업,달대비계
197,빌딩,안전가시설작업,추락방지망
198,빌딩,안전가시설작업,가설 경사로
199,빌딩,안전가시설작업,가설통로 또는 가설계단
200,빌딩,안전가시설작업,굴착선단부
201,빌딩,안전가시설작업,이동식 사다리
202,빌딩,안전가시설작업,철골 승강용트랩
203,빌딩,안전가시설작업,경사지붕
204,빌딩,안전가시설작업,리프트승강부 출입문
205,빌딩,안전가시설작업,낙하물 방지망
206,빌딩,안전가시설작업,방호선반
207,빌딩,가설전기작업,수배전설비
208,빌딩,가설전기작업,분전반
209,빌딩,가설전기작업,전선
210,빌딩,가설전기작업,충전부
211,빌딩,가설전기작업,조명등
212,빌딩,가설전기작업,교류아크 용접기
213,빌딩,가설전기작업,이동석전기 기계기구
214,빌딩,가설전기작업,접지
215,빌딩,양중기작업,타워크레인
216,빌딩,양중기작업,리프트
217,빌딩,양중기작업,이동식 크레인
218,빌딩,양중기작업,곤도라
219,빌딩,양중기작업,윈치
220,빌딩,양중기작업,특수 작업대
221,빌딩,위험기계기구작업,목재가공용 둥급톱
222,빌딩,위험기계기구작업,연삭기
223,빌딩,위험기계기구작업,공기 압축기
224,빌딩,위험기계기구작업,이동식 발전기
225,빌딩,위험기계기구작업,철근절단기 및 절곡기
226,빌딩,위험기계기구작업,그라우팅 장비
227,빌딩,위험기계기구작업,몰탈 믹서기
228,빌딩,위험기계기구작업,열풍기
229,교량 및 도로,기초파일작업,기초파일 자재·장비반입
230,교량 및 도로,기초파일작업,기초파일 천공
231,교량 및 도로,기초파일작업,기초 파일항타
232,교량 및 도로,기초파일작업,기초파일 두부정리
233,교량 및 도로,굴착작업,굴착 장비반입
234,교량 및 도로,굴착작업,굴착
235,교량 및 도로,굴착작업,굴착 토사반출
236,교량 및 도로,발파작업,발파 천공
237,교량 및 도로,발파작업,발파 장약
238,교량 및 도로,발파작업,발파
239,교량 및 도로,발파작업,발파 암처리
240,교량 및 도로,발파작업,발파 화약고 관리
241,교량 및 도로,흙막이지보공작업,흙막이지보공 자재반입
242,교량 및 도로,흙막이지보공작업,흙막이지보공 설치
243,교량 및 도로,흙막이지보공작업,흙막이지보공 해체
244,교량 및 도로,흙막이지보공작업,흙막이지보공 자재반출
245,교량 및 도로,되메움작업,토사반입 및 되메움 실시
246,교량 및 도로,되메움작업,되메움 토사 다짐
247,교량 및 도로,거푸집작업,거푸집 자재반입
248,교량 및 도로,거푸집작업,거푸집 동바리 조립
249,교량 및 도로,거푸집작업,거푸집 동바리 해체
250,교량 및 도로,거푸집작업,거푸집 동바리 인양
251,교량 및 도로,철근작업,철근반입
252,교량 및 도로,철근작업,철근가공 및 운반
253,교량 및 도로,철근작업,철근조립
254,교량 및 도로,콘크리트작업,콘크리트 반입
255,교량 및 도로,콘크리트작업,콘크리트타설
256,교량 및 도로,콘크리트작업,콘크리트양생
257,교량 및 도로,부대토목작업,부대토목 옹벽시공
258,교량 및 도로,부대토목작업,부대토목 구내포장
259,교량 및 도로,가설도로작업,가설도로 벌목 및 표토제거
260,교량 및 도로,가설도로작업,가설도로 시공
261,교량 및 도로,지장물조사 및 이설작업,지장물 조사 굴착
262,교량 및 도로,지장물조사 및 이설작업,지장물 보호
263,교량 및 도로,지장물조사 및 이설작업,지장물 이설
264,교량 및 도로,지장물조사 및 이설작업,지장물 되메움
265,교량 및 도로,제작장설치작업,제작장 부지조성
266,교량 및 도로,제작장설치작업,제작장 설치
267,교량 및 도로,슬립폼작업,슬립폼(슬라이딩 폼) 제작
268,교량 및 도로,슬립폼작업,슬립 폼(슬라이딩 폼) 인양
269,교량 및 도로,슬립폼작업,슬립 폼(슬라이딩 폼) 해체
270,교량 및 도로,케이슨작업,케이슨 제작
271,교량 및 도로,케이슨작업,케이슨운반 및 거치
272,교량 및 도로,케이슨작업,케이슨 내 속체움
273,교량 및 도로,강교설치작업,강교 부재반입
274,교량 및 도로,강교설치작업,강교 부재 운반
275,교량 및 도로,강교설치작업,강교 부재 조립
276,교량 및 도로,강교설치작업,강교 슬라브 시공
277,교량 및 도로,PSC교량작업,PSC 교량 거더 제작
278,교량 및 도로,PSC교량작업,PSC 교량 거더 인양 및 상차
279,교량 및 도로,PSC교량작업,PSC 교량 거더 운반
280,교량 및 도로,PSC교량작업,PSC 교량 거더 인양 및 거치
281,교량 및 도로,PSC교량작업,PSC 교량 Cross Beam설치
282,교량 및 도로,PSC교량작업,PSC 교량 슬라브 시공
283,교량 및 도로,포장작업,포장 장비 반입
284,교량 및 도로,포장작업,포장시공
285,교량 및 도로,포설 및 다짐작업,포설 및 다짐
286,교량 및 도로,특수교량작업,특수교량(FCM공법)
287,교량 및 도로,특수교량작업,특수교량(MSS 공법)
288,교량 및 도로,특수교량작업,특수교량(ILM공법)
289,교량 및 도로,특수교량작업,특수교량(사장교)
290,교량 및 도로,특수교량작업,특수교량(현수교)
291,교량 및 도로,가체절작업,가체절(물막이) 장비 반입
292,교량 및 도로,가체절작업,가체절(물막이) 흙막이 시공
293,교량 및 도로,가설플랜트작업,가설플랜트 (콘크리트 Batch Plant)
294,교량 및 도로,가설플랜트작업,가설플랜트 (숏크리트)
295,교량 및 도로,가설플랜트작업,가설플랜트 (크라샤 Plant)
296,교량 및 도로,작업환경,작업환경 (조명)
297,교량 및 도로,작업환경,작업환경 (환기)
298,교량 및 도로,작업환경,작업환경 (분진)
299,교량 및 도로,작업환경,작업환경 (배수)
300,교량 및 도로,안전가시설작업,개구부
301,교량 및 도로,안전가시설작업,작업발판
302,교량 및 도로,안전가시설작업,비계
303,교량 및 도로,안전가시설작업,이동식 비계
